Id,MlsNumber,Price,Address,PhotoURL,PropertyURL,PropertyType,Description,AgentName,AgentURL
26456563,W8028282,$1,"1033 JAYSON CRT|Mississauga, Ontario L4W2P4",https://cdn.realtor.ca/listings/TS638422923743670000/reb82/highres/2/w8028282_1.jpg,https://www.realtor.ca/real-estate/26456563/1033-jayson-crt-mississauga-northeast,Industrial,"Immaculate free-standing facility with modern precast construction. Additional 5,000 sf steel deck mezzanine not included in total SF.  Newly renovated front offices.  Ample shipping - 7 dock doors (one is internal).  Generous truck turning radius.  24 ft clear height. Clean Phase II report available.**** EXTRAS **** Taxes are approx. Buyer to verify all information. (34484845)",JOHN V. LA FONTAINE,https://www.realtor.ca/agent/1415512/john-v-la-fontaine-5935-airport-rd-suite-700-mississauga-ontario-l4v1w5
26530965,W8079024,$1,"1220 MATHESON BLVD E|Mississauga, Ontario L4W1R2",https://cdn.realtor.ca/listings/TS638440324859400000/reb82/highres/4/w8079024_1.jpg,https://www.realtor.ca/real-estate/26530965/1220-matheson-blvd-e-mississauga-northeast,Industrial,Prime Location. Rare Opportunity To Own Freestanding Building In A Limited Supply Market. Buyer To Verify All Information. vacant possession.**** EXTRAS **** roof (2022) (34609989),MICHAEL ALEXANDER MONTESANO,https://www.realtor.ca/agent/1893020/michael-alexander-montesano-6175-highway-7-units-23-24-woodbridge-ontario-l4h0p6
26435901,W8014338,$1,"6950 KENDERRY GATE|Mississauga, Ontario L5T2S7",https://cdn.realtor.ca/listings/TS638415196255830000/reb82/highres/8/w8014338_1.jpg,https://www.realtor.ca/real-estate/26435901/6950-kenderry-gate-mississauga-gateway,Industrial,"HIGHLY DESIREABLE SMALL INDUSTRIAL BUILDING WITH EXCESS LAND. OUTSIDE STORAGE PERMITTED. FULLY PAVED, FENCED & SECURED YARD. +/- 2.5 ACRE OF EXCESS LAND. 100 TRAILER SPOTS. LAND CAN BE USED FOR PARKING, EXPANSION OR OUTSIDE STORAGE. EXCELLENT LOCATION WITH CLOSE PROXIMITY TO 400 SERIES HIGHWAY. IDEAL PROPERTY FOR TRANSPORTATION/LOGISTICS COMPANY. WELL LAID OUT OFFICE SPACE.**** EXTRAS **** ALL INFORMATION IS TO BE VERIFIED BY BUYER OR BUYER AGENT. VACANT POSESSION AVAILABLE ON CLOSING. (34450239)",KEN RATTAN,https://www.realtor.ca/agent/1560076/ken-rattan-1654-lakeshore-rd-w-b-mississauga-ontario-l5j1j3
26551723,W8093078,$1,"1801 SHAWSON DR|Mississauga, Ontario L4W1T9",https://cdn.realtor.ca/listings/TS638445508585700000/reb82/highres/8/w8093078_1.jpg,https://www.realtor.ca/real-estate/26551723/1801-shawson-dr-mississauga-northeast,Industrial,"Rare freestanding industrial facility with excess land located at Dixie Rd/Hwy 401 area. Zoning permits full outside storage and a variety of uses: truck repair facility, trucking terminal, contractors yard, etc. 2 drive-in repair bays (16'x14'). Fully fenced yard. Recently renovated well-appointed office area. Excellent location close to 400 series highways, Pearson International Airport and numerous amenities.**** EXTRAS **** Seller in process of obtaining new environmental reports. (34644801)",MATHEW J TONNA,https://www.realtor.ca/agent/2012769/mathew-j-tonna-5935-airport-rd-suite-700-mississauga-ontario-l4v1w5
26041340,W6807756,$1,"35 PRECIDIO CRT|Brampton, Ontario L6S6B7",https://cdn.realtor.ca/listings/TS638312603091900000/reb82/highres/6/w6807756_1.jpg,https://www.realtor.ca/real-estate/26041340/35-precidio-crt-brampton-bramalea-north-industrial,Industrial,"Immediate warehouse occupancy available in Brampton Business Park. Freestanding industrial building with approx. 122,442 sf on 5.44 acres. Upgrading led lightning throughout the office and warehouse. Situated near Airport Rd. & Queen St. with quick access to 400-series highways, Bramalea GO Station, and Pearson International Airport. Ability to build out 3 additional truck level doors.**** EXTRAS **** *Legal Description Cont'd: PTS 1 & 3, 43R20280; T/W PT LT 6, CON 6, EHS, PT 4, 43R14988 AS IN LT828989; T/W PT LT 8, CON 6 EHS, PT 2, 43R16911 AS IN LT1098794; BRAMPTON (32849096)",CHRIS PLANETA,https://www.realtor.ca/agent/2068257/chris-planeta-5935-airport-rd-suite-700-mississauga-ontario-l4v1w5
26385148,W7377352,$1,"62 PROGRESS CRT|Brampton, Ontario L6S5X2",https://cdn.realtor.ca/listings/TS638399647257330000/reb82/highres/2/w7377352_1.jpg,https://www.realtor.ca/real-estate/26385148/62-progress-crt-brampton-gore-industrial-north,Industrial,"Heavy Manufacturing Industrial Building. Checks ALL the boxes. Outside storage. Cranes. M3 Zoning. Great clear span and height. Excellent location on Brampton/Vaughan/Toronto border and minutes to 427.**** EXTRAS **** See list of Cranes, attached floor plans and Warehouse virtual tour. (33762500)",FRANK TULLIO,https://www.realtor.ca/agent/1939435/frank-tullio-78-queen-elizabeth-blvd-toronto-ontario-m8z1m3
26475485,W8040774,$1,"25 SUN PAC BLVD|Brampton, Ontario L6S5P6",https://cdn.realtor.ca/listings/TS638424843719000000/reb82/highres/4/w8040774_1.jpg,https://www.realtor.ca/real-estate/26475485/25-sun-pac-blvd-brampton-gore-industrial-north,Industrial,"Excellent User OWNER/ INVESTOR Opportunity. MULTI UNIT Building. The total building size is 32,283 sq.ft., this includes 5576 sq.ft. of Second floor office space. Buyer and buyer's agent to verify all measurements. Rare Industrial Freestanding multi unit on approximately 2.0 Acre Of Land. Highly Desirable Location With Easy Access To Highways 407 & 427. Close Proximity To The Airport. Professionally finished Offices On Two Floors. 1 TRUCK LEVEL & 5 Drive-IN doors. Building has a rooftop SOLAR SYSTEM which is tied into the building hydro. The savings are split between the building owner and the solar provider. For Industrial Space Heat Type is Radiant.**** EXTRAS **** Building has a rooftop SOLAR SYSTEM which is tied into the building hydro. The savings are split between the building owner and the solar provider. (34516259)",SARBJIT BATH,https://www.realtor.ca/agent/1527148/sarbjit-bath-7275-rapistan-court-mississauga-ontario-l5n5z4
26424288,W7405754,$1,Address not available,https://cdn.realtor.ca/listings/TS638411020030000000/reb82/highres/4/w7405754_1.jpg,https://www.realtor.ca/real-estate/26424288/brampton,Vacant Land,"7.1-acre vacant property located south of Hwy 407, directly west of Mavis Road. This land is a rare privately-owned property along the Hwy 407 corridor. Property is no longer accessible by public road access. It can be accessed from Old Derry Road. This Property Offers Endless Possibilities For Those Looking To Invest In The Future. With Its Ideal Location And Ample Acreage, This Property Is The Perfect Canvas For Your Next Project. Whether You Are A Seasoned Investor, Developer, Builder Or Just Getting Started, You Won't Want To Miss Out On This Opportunity. The land is currently zoned as """"Agriculture""""**** EXTRAS **** Buyer and Buyers agent to do their own due diligence. The price of the property is not $1. (33830042)",VARINDER PUAAR,https://www.realtor.ca/agent/1924542/varinder-puaar-2-county-court-blvd-202-brampton-ontario-l6w3w8
25930399,W6731504,$1,"8872 9 LINE|Halton Hills, Ontario L0P1K0",https://cdn.realtor.ca/listings/TS638272740986030000/reb82/highres/4/w6731504_1.jpg,https://www.realtor.ca/real-estate/25930399/8872-9-line-halton-hills-rural-halton-hills,Agriculture,"Rare ONE HUNDRED AND ONE ACRE piece of land in WHITE BELT and SOUTH of Georgetown! 101 acre farm with the view of city skyline: Square One/Mississauga high rises are clearly seen! Located 2km from Mississauga's border, 2 km from Toronto Outlet Mall, and 1 km from the junction of three highways: Hwy 401, hwy 407 and future approved highway 413. 9th Line will be widened to 4 lanes + sidewalk + bike path in very near future. This is main artery leading to Georgetown. This land is not frozen, as Hwy 413 will veer EAST from the junction of hwy 401/407. Major builders own adjacent tracts of land. Well watewr is plentiful in this area due to an underground aquifer to the north at 5th SDRD. Land bankers, investors park your $$$. If you are looking to build a family compound of unrestricted size and grow your own organic food, while living right in between Mississauga, Oakville, Milton and Georgetown and THREE major highways then you have found the best place ever! (32661903)",RENEE CARLSON,https://www.realtor.ca/agent/1409865/renee-carlson
25922206,40465220,$1,"8872 9 Line|Halton Hills, Ontario L0P1K0",https://cdn.realtor.ca/listings/TS638418756279100000/reb15/highres/0/40465220_1.jpg,https://www.realtor.ca/real-estate/25922206/8872-9-line-halton-hills,Vacant Land,"Rare ONE HUNDRED AND ONE ACRE piece of land in WHITE BELT and SOUTH of Georgetown! 101 acre farm with the view of city skyline: Square One/Mississauga high rises are clearly seen! Located 2km from Mississauga's border, 2 km from Toronto Outlet Mall, and 1 km from the junction of three highways: Hwy 401, hwy 407 and future approved highway 413. 9th Line will be widened to 4 lanes + sidewalk + bike path in very near future. This is main artery leading to Georgetown. This land is not frozen, as Hwy 413 will veer EAST from the junction of hwy 401/407. Major builders own adjacent tracts of land. Well water is plentiful in this area due to an underground aquifer to the north at 5th SDRD. Land bankers, investors park your $$$. If you are looking to build a family compound of unrestricted size and grow your own organic food, while living right in between Mississauga, Oakville, Milton and Georgetown and THREE major highways then you have found the best place ever! Very long term VTB with high LTV available. (66387426)",Renee Carlson,https://www.realtor.ca/agent/1854861/renee-carlson-2691-credit-valley-rd-suite-104-mississauga-ontario-l5m7a1
